num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,trend,alpha,ncc,unit_size,bs_degree,study_arm,model,reject_h0,bias,MSE,failed,nsim
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,4,sepmodel,0.0246,0.002268432850156006,0.008020770364280963,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,4,splines,0.0229,0.0014585085949971985,0.007074006186056891,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,4,splines_cal,0.0236,0.001325800593107016,0.0071139431094471425,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,5,fixmodel,0.0245,-3.6114878099416885e-4,0.0070549305543476815,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,5,poolmodel,0.0142,-0.017069811208670235,0.006443046566758767,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,5,sepmodel,0.0269,4.046391761152696e-4,0.007891113809482271,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,5,splines,0.0235,-4.059564358077507e-4,0.006989883912408889,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,5,splines_cal,0.0241,-5.619293849980556e-4,0.0070378921319997805,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,6,fixmodel,0.0265,-7.644912501531245e-5,0.00699286123387202,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,6,poolmodel,0.0134,-0.02180519215531451,0.006492623173680961,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,TRUE,25,3,6,sepmodel,0.0277,3.533509160198504e-4,0.008037944944049634,0,10000
