num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,n_wave,N_peak,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,250,NA,NA,4,fixmodel_cal,0.8344,-0.0027022389207937056,0.007071932790036626,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,250,NA,NA,4,sepmodel,0.7981,-5.763963703834292e-4,0.007859945410040883,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,275,NA,NA,2,fixmodel,0.8244,-5.691234198123375e-4,0.007367479322892227,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,275,NA,NA,2,fixmodel_cal,0.8496,-9.209165692814502e-4,0.0067878117897454664,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,275,NA,NA,2,sepmodel,0.7898,-4.1266437853646756e-4,0.007930182926207318,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,275,NA,NA,3,fixmodel,0.8258,-7.424043675692504e-4,0.0074150948359650234,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,275,NA,NA,3,fixmodel_cal,0.8403,-0.004344685280943712,0.006961811613523736,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,275,NA,NA,3,sepmodel,0.7912,-8.06567893090374e-4,0.008114068516322246,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,275,NA,NA,4,fixmodel,0.8418,0.0014587797901912754,0.007234485520888149,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,275,NA,NA,4,fixmodel_cal,0.8307,-0.004520487476514436,0.0071289611025618215,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,275,NA,NA,4,sepmodel,0.7972,0.0012637123158967002,0.007975838852375326,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,300,NA,NA,2,fixmodel,0.8166,-0.0011516464439680944,0.007659998016557773,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,300,NA,NA,2,fixmodel_cal,0.8336,-0.0028722867546184575,0.007217779362628551,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,300,NA,NA,2,sepmodel,0.788,-0.001290071325619095,0.008121929475752361,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,300,NA,NA,3,fixmodel,0.8313,-4.2272874620083483e-4,0.007188519003992215,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,300,NA,NA,3,fixmodel_cal,0.8646,-0.0012573502494773806,0.006522454757390522,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,300,NA,NA,3,sepmodel,0.7939,-5.741512685848665e-4,0.007889474857248646,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,300,NA,NA,4,fixmodel,0.8364,4.308925951898876e-4,0.007157685995945771,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,300,NA,NA,4,fixmodel_cal,0.8151,-0.009420782633092758,0.007047580867408897,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,300,NA,NA,4,sepmodel,0.7963,5.591095589691784e-4,0.007928934761198533,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,325,NA,NA,2,fixmodel,0.8202,-4.019783558777703e-4,0.007516880051760209,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,325,NA,NA,2,fixmodel_cal,0.8573,-1.0254572387215054e-4,0.00680814476199704,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,325,NA,NA,2,sepmodel,0.7879,-9.155501889280416e-4,0.008081279004216572,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,325,NA,NA,3,fixmodel,0.8358,0.0010526342546748235,0.007301905326452206,0,10000
