num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,stepwise,0.025,EQ,H1,3,mixmodel,0.8349
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,stepwise,0.025,EQ,H1,3,mixmodel_cal,0.3252
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,stepwise,0.025,EQ,H1,3,sepmodel,0.8263
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.025,EQ,H1,2,fixmodel,0.8499
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.025,EQ,H1,2,fixmodel_cal,0.8497
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.025,EQ,H1,2,mixmodel,0.8311
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.025,EQ,H1,2,mixmodel_cal,0.4306
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.025,EQ,H1,2,sepmodel,0.8272
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.025,EQ,H1,3,fixmodel,0.8475
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.025,EQ,H1,3,fixmodel_cal,0.8482
